"VEG_POT","REG_ECO","ind","supTot","codInd"
"FE5","2a","FE5_2a",12.0625,485
"FC1","2b","FC1_2b",1.0625,486
"FE3","2a","FE3_2a",0.5625,487
"FC1","3c","FC1_3c",14.5625,488
"MS4","3d","MS4_3d",3.375,489
"MA1","3d","MA1_3d",1.4375,490
"FE5","3c","FE5_3c",9.3125,491
"LA4","3c","LA4_3c",0.0625,492
"RB1","3a","RB1_3a",17.4375,493
"RE2","2b","RE2_2b",0.5,494
"FO1","3d","FO1_3d",6.75,495
"FE1","1a","FE1_1a",1399.4375,496
"MJ1","1a","MJ1_1a",869.875,497
"FE6","1a","FE6_1a",80.8125,498
"RP1","1a","RP1_1a",203.375,499
"MF1","1a","MF1_1a",112.8125,500
"RS1","1a","RS1_1a",95.25,501
"FE5","1a","FE5_1a",25.375,502
"FC1","1a","FC1_1a",29,503
"FE1","3a","FE1_3a",0.875,504
"RB1","1a","RB1_1a",128,505
"FE2","1a","FE2_1a",94.0625,506
"RC3","1a","RC3_1a",18.125,507
"RE3","1a","RE3_1a",4.8125,508
"FO1","1a","FO1_1a",426.625,509
"MA1","2b","MA1_2b",0.0625,510
"MA1","1a","MA1_1a",0.5,511
"NDI","1a","NDI_1a",4,512
"MJ2","1a","MJ2_1a",70.8125,513
"MJ1","2c","MJ1_2c",1855.5625,514
"RB1","2c","RB1_2c",484.5,515
"FE2","2c","FE2_2c",1672.375,516
"RS1","2c","RS1_2c",339.75,517
"RC3","2c","RC3_2c",81.875,518
"MJ2","2c","MJ2_2c",515.875,519
"FO1","2c","FO1_2c",17.5625,520
"FE1","2b","FE1_2b",18.9375,521
"FE1","2a","FE1_2a",12.375,522
"MF1","2c","MF1_2c",126.0625,523
"FE5","2c","FE5_2c",5.9375,524
"FE3","2c","FE3_2c",148.4375,525
"RP1","2c","RP1_2c",27.4375,526
"RE3","2c","RE3_2c",7.375,527
"MA1","2a","MA1_2a",0.0625,528
"FE6","2c","FE6_2c",10.8125,529
"MS4","2c","MS4_2c",0.625,530
"FE1","2c","FE1_2c",5.0625,531
"MS2","2c","MS2_2c",0.875,532
"FE4","3d","FE4_3d",0.0625,533
