landtype,spp,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
432,ACER.RUB,8,0.08,0.014,0.019,1.83,2
432,ACER.RUB,9,0,0.047,0.072,2.004,2
432,ACER.RUB,10,0,0.01,0.01,2,2
433,ACER.RUB,1,0,0.345,0.355,2.415,2.65
433,ACER.RUB,2,0,0.349,0.5,2.031,2
433,ACER.RUB,3,0,0.225,0.144,1.154,2
433,ACER.RUB,4,0,0.23,0.144,2.029,2
433,ACER.RUB,5,0.095,0.064,0.037,1.534,2
433,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
433,ACER.RUB,7,0.004,0.004,0.003,1.231,1
433,ACER.RUB,8,0.08,0.014,0.019,1.83,2
433,ACER.RUB,9,0,0.047,0.072,2.004,2
433,ACER.RUB,10,0,0.01,0.01,2,2
434,ACER.RUB,1,0,0.345,0.355,2.415,2.65
434,ACER.RUB,2,0,0.349,0.5,2.031,2
434,ACER.RUB,3,0,0.225,0.144,1.154,2
434,ACER.RUB,4,0,0.23,0.144,2.029,2
434,ACER.RUB,5,0.095,0.064,0.037,1.534,2
434,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
434,ACER.RUB,7,0.004,0.004,0.003,1.231,1
434,ACER.RUB,8,0.08,0.014,0.019,1.83,2
434,ACER.RUB,9,0,0.047,0.072,2.004,2
434,ACER.RUB,10,0,0.01,0.01,2,2
435,ACER.RUB,1,0,0.345,0.355,2.415,2.65
435,ACER.RUB,2,0,0.349,0.5,2.031,2
435,ACER.RUB,3,0,0.225,0.144,1.154,2
435,ACER.RUB,4,0,0.23,0.144,2.029,2
435,ACER.RUB,5,0.095,0.064,0.037,1.534,2
435,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
435,ACER.RUB,7,0.004,0.004,0.003,1.231,1
435,ACER.RUB,8,0.08,0.014,0.019,1.83,2
435,ACER.RUB,9,0,0.047,0.072,2.004,2
435,ACER.RUB,10,0,0.01,0.01,2,2
436,ACER.RUB,1,0,0.345,0.355,2.415,2.65
436,ACER.RUB,2,0,0.349,0.5,2.031,2
436,ACER.RUB,3,0,0.225,0.144,1.154,2
436,ACER.RUB,4,0,0.23,0.144,2.029,2
436,ACER.RUB,5,0.095,0.064,0.037,1.534,2
436,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
436,ACER.RUB,7,0.004,0.004,0.003,1.231,1
